PrimKey,LANAME,SCHOOL NAME,STREET,TOWN,POSTCODE,SCHOOLTYPE,GENDER
29,Hampshire,Curdridge Primary School,Church Lane,Southampton,SO32 2DR,Community school,Mixed
30,Hampshire,Crofton Anne Dale Junior School,Cuckoo Lane,Fareham,PO14 3PH,Community school,Mixed
31,Hampshire,Droxford Junior School,Union Lane,Southampton,SO32 3QR,Community school,Mixed
32,Hampshire,Denmead Infant School,Hambledon Road,Waterlooville,PO7 6PN,Community school,Mixed
33,Hampshire,Wildground Junior School,Armitage Avenue,Southampton,SO45 4LG,Community school,Mixed
34,Hampshire,Fryern Junior School,Oakmount Road,Eastleigh,SO53 2LN,Community school,Mixed
35,Hampshire,Wildground Infant School,Crete Road,Southampton,SO45 4JX,Community school,Mixed
36,Hampshire,The Crescent Primary School,Toynbee Road,Eastleigh,SO50 9DH,Community school,Mixed
37,Hampshire,Cherbourg Primary School,Cherbourg Road,Eastleigh,SO50 5QF,Community school,Mixed
38,Hampshire,Shakespeare Infant School,Shakespeare Road,Eastleigh,SO50 4FZ,Community school,Mixed
39,Hampshire,Wallisdean Junior School,Wallisdean Avenue,Fareham,PO14 1HU,Community school,Mixed
40,Hampshire,Uplands Primary School,Morshead Crescent,Fareham,PO16 7QP,Community school,Mixed
41,Hampshire,Fair Oak Infant School,Botley Road,Eastleigh,SO50 7AN,Community school,Mixed
42,Hampshire,Redlands Primary School,Redlands Lane,Fareham,PO16 0UD,Community school,Mixed
43,Hampshire,Wallisdean Infant School,Wallisdean Avenue,Fareham,PO14 1HT,Community school,Mixed
44,Hampshire,Grateley Primary School,Grateley,Andover,SP11 8JS,Community school,Mixed
45,Hampshire,Greatham Primary School,Petersfield Road,Liss,GU33 6HA,Community school,Mixed
46,Hampshire,Waterside Primary School,Ashford Crescent,Southampton,SO45 6ET,Community school,Mixed
47,Hampshire,Hale Primary School,Hatchett Green,Fordingbridge,SP6 2NE,Community school,Mixed
48,Hampshire,Hamble Primary School,Hamble Lane,Southampton,SO31 4ND,Community school,Mixed
49,Hampshire,Hambledon Primary School,Church Lane,Waterlooville,PO7 4RT,Community school,Mixed
50,Hampshire,Oakwood Infant School,Church Lane,Hook,RG27 8DY,Community school,Mixed
51,Hampshire,Fairfield Infant School,Fairfield Road,Havant,PO9 1AY,Community school,Mixed
52,Hampshire,Riders Junior School,Kingsclere Avenue,Havant,PO9 4RY,Community school,Mixed
53,Hampshire,Riders Infant School,Kingsclere Avenue,Havant,PO9 4RY,Community school,Mixed
54,Hampshire,Trosnant Junior School,Stockheath Lane,Havant,PO9 3BD,Community school,Mixed
55,Hampshire,Trosnant Infant School,Stockheath Lane,Havant,PO9 3BD,Community school,Mixed
56,Hampshire,Hawley Primary School,Hawley Road,Camberley,GU17 9BH,Community school,Mixed
57,Hampshire,Mill Rythe Junior School,Havant Road,Hayling Island,PO11 0PA,Community school,Mixed
58,Hampshire,Tiptoe Primary School,Wootton Road,Lymington,SO41 6FU,Community school,Mixed
59,Hampshire,Hythe Primary School,School Road,Southampton,SO45 6BL,Community school,Mixed
60,Hampshire,Freegrounds Infant School,Hobb Lane,Southampton,SO30 0GG,Community school,Mixed
61,Hampshire,Bosmere Junior School,South Street,Havant,PO9 1DA,Community school,Mixed
62,Hampshire,Itchen Abbas Primary School,School Lane,Winchester,SO21 1BE,Community school,Mixed
63,Hampshire,Ashford Hill Primary School,Ashford Hill Road,THATCHAM,RG19 8BB,Community school,Mixed
64,Hampshire,Kings Worthy Primary School,Church Lane,Winchester,SO23 7QS,Community school,Mixed
65,Hampshire,Langrish Primary School,Ramsdean Road,Petersfield,GU32 3PJ,Community school,Mixed
66,Hampshire,Liss Junior School,Hillbrow Road,Liss,GU33 7LQ,Community school,Mixed
67,Hampshire,Locks Heath Junior School,Warsash Road,Southampton,SO31 9NZ,Community school,Mixed
68,Hampshire,New Milton Infant School,Lymington Road,New Milton,BH25 6PZ,Community school,Mixed
69,Hampshire,New Milton Junior School,Old Milton Road,New Milton,BH25 6DS,Community school,Mixed
70,Hampshire,Newtown Soberton Infant School,Church Road,Fareham,PO17 6LJ,Community school,Mixed
71,Hampshire,North Waltham Primary School,Church Road,Basingstoke,RG25 2BL,Community school,Mixed
72,Hampshire,Buryfields Infant School,Buryfields,Hook,RG29 1NE,Community school,Mixed
73,Hampshire,Owslebury Primary School,Beech Grove,Winchester,SO21 1LS,Community school,Mixed
74,Hampshire,Northern Junior School,Richmond Rise,Fareham,PO16 8DG,Community school,Mixed
75,Hampshire,Petersfield Infant School,St Peter's Road,Petersfield,GU32 3HX,Community school,Mixed
76,Hampshire,Purbrook Infant School,Aldermoor Road East,Waterlooville,PO7 5NQ,Community school,Mixed
77,Hampshire,Wicor Primary School,Hatherley Crescent,Fareham,PO16 9DL,Community school,Mixed
78,Hampshire,Springwood Infant School,Springwood Avenue,Waterlooville,PO7 8ED,Community school,Mixed
79,Hampshire,Herne Junior School,Love Lane,Petersfield,GU31 4BP,Community school,Mixed
80,Hampshire,Ringwood Junior School,Hightown Road,Ringwood,BH24 1NH,Community school,Mixed
81,Hampshire,Cupernham Junior School,Bransley Close,Romsey,SO51 7JT,Community school,Mixed
82,Hampshire,St Mary Bourne Primary School,School Lane,Andover,SP11 6AU,Community school,Mixed
83,Hampshire,Sheet Primary School,School Lane,Petersfield,GU32 2AS,Community school,Mixed
84,Hampshire,Shipton Bellinger Primary School,3 Parkhouse Road,Tidworth,SP9 7TW,Community school,Mixed
85,Hampshire,Sopley Primary School,South Ripley,Christchurch,BH23 8ET,Community school,Mixed
86,Hampshire,Stockbridge Primary & Pre-School,Old London Road,Stockbridge,SO20 6EJ,Community school,Mixed
87,Hampshire,Tadley Community Primary School,The Green,Tadley,RG26 3PB,Community school,Mixed
88,Hampshire,Titchfield Primary School,Southampton Road,Fareham,PO14 4AU,Community school,Mixed
89,Hampshire,Lydlynch Infant School,"Lydlynch Road,",Southampton,SO40 3DW,Community school,Mixed
90,Hampshire,Eling Infant School and Nursery,School Road,Southampton,SO40 9HX,Community school,Mixed
91,Hampshire,Foxhills Junior School,Foxhills,Southampton,SO40 7ED,Community school,Mixed
92,Hampshire,Wallop Primary School,School Lane,Stockbridge,SO20 8EH,Community school,Mixed
93,Hampshire,Wellow School,Romsey Road,Romsey,SO51 6BG,Community school,Mixed
94,Hampshire,Wherwell Primary School,Wherwell,Andover,SP11 7JP,Community school,Mixed
95,Hampshire,Stanmore Primary School,Stanmore Lane,Winchester,SO22 4AJ,Community school,Mixed
96,Hampshire,Winnall Primary School,Garbett Road,Winchester,SO23 0NY,Community school,Mixed
97,Hampshire,Padnell Junior School,Padnell Road,Waterlooville,PO8 8EA,Community school,Mixed
98,Hampshire,Padnell Infant School,Padnell Avenue,Waterlooville,PO8 8DS,Community school,Mixed
99,Hampshire,Hart Plain Infant School,Hart Plain Avenue,Waterlooville,PO8 8RZ,Community school,Mixed
100,Hampshire,Crofton Anne Dale Infant School,Cuckoo Lane,Fareham,PO14 3PH,Community school,Mixed
101,Hampshire,Fryern Infant School,Oakmount Road,Eastleigh,SO53 2LN,Community school,Mixed
102,Hampshire,Vigo Primary School,Vigo Road,Andover,SP10 1JZ,Community school,Mixed
103,Hampshire,Winklebury Infant School,Willoughby Way,Basingstoke,RG23 8AF,Community school,Mixed
104,Hampshire,Shamblehurst Primary School,Wildern Lane,Southampton,SO30 4EJ,Community school,Mixed
105,Hampshire,Anton Infant School,Wellesley Road,Andover,SP10 2HF,Community school,Mixed
106,Hampshire,Oakridge Junior School,Oakridge Road,Basingstoke,RG21 5RR,Community school,Mixed
107,Hampshire,South View Infant and Nursery School,Off Shooters Way,Basingstoke,RG21 5LL,Community school,Mixed
108,Hampshire,Church Crookham Junior School,Tweseldown Road,Fleet,GU52 8BW,Community school,Mixed
109,Hampshire,Orchard Infant School,Water Lane,Southampton,SO45 4SB,Community school,Mixed
110,Hampshire,Hiltingbury Infant School,Off Hiltingbury Road,Eastleigh,SO53 5NP,Community school,Mixed
111,Hampshire,Frogmore Infant School,Green Lane,Camberley,GU17 0NY,Community school,Mixed
112,Hampshire,Horndean Infant School,Merchistoun Road,Waterlooville,PO8 9LS,Community school,Mixed
113,Hampshire,Pennington Infant School,Priestlands Road,Lymington,SO41 8HX,Community school,Mixed
114,Hampshire,Westfields Junior School,School Lane,Yateley,GU46 6NN,Community school,Mixed
115,Hampshire,Wootey Infant School,Wooteys Way,Alton,GU34 2JA,Community school,Mixed
116,Hampshire,Mengham Infant School,St Mary's Road,Hayling Island,PO11 9DD,Community school,Mixed
117,Hampshire,Orchard Junior School,Water Lane,Southampton,SO45 4SB,Community school,Mixed
118,Hampshire,Locks Heath Infant School,Warsash Road,Southampton,SO31 9NZ,Community school,Mixed
119,Hampshire,Harrison Primary School,Harrison Road,Fareham,PO16 7EQ,Community school,Mixed
120,Hampshire,Warren Park Primary School,Sandleford Road,Havant,PO9 4LR,Foundation school,Mixed
121,Hampshire,Sun Hill Infant School,Sun Lane,Alresford,SO24 9NB,Community school,Mixed
122,Hampshire,Oakfield Primary School,Sylvia Crescent,Southampton,SO40 3LN,Community school,Mixed
123,Hampshire,Westfields Infant School,School Lane,Yateley,GU46 6NN,Community school,Mixed
124,Hampshire,Fair Oak Junior School,Botley Road,Eastleigh,SO50 7AN,Community school,Mixed
125,Hampshire,North Baddesley Junior School,Fleming Avenue,Southampton,SO52 9EP,Community school,Mixed
126,Hampshire,Poulner Junior School,North Poulner Road,Ringwood,BH24 3LA,Community school,Mixed
127,Hampshire,Freegrounds Junior School,Hobb Lane,Southampton,SO30 0GG,Community school,Mixed
128,Hampshire,Merton Junior School,Romsey Close,Basingstoke,RG24 9HB,Community school,Mixed
129,Hampshire,Heatherside Infant School,Reading Road South,Fleet,GU52 7TH,Community school,Mixed
130,Hampshire,Fleet Infant School,Velmead Road,Fleet,GU52 7LQ,Community school,Mixed
131,Hampshire,Merton Infant School,Romsey Close,Basingstoke,RG24 9HB,Community school,Mixed
132,Hampshire,Castle Hill Primary School,Winklebury Way,Basingstoke,RG23 8BN,Community school,Mixed
133,Hampshire,Bishop's Waltham Junior School,Oak Road,Southampton,SO32 1EP,Community school,Mixed
134,Hampshire,Hiltingbury Junior School,Hiltingbury Road,Eastleigh,SO53 5NP,Community school,Mixed
135,Hampshire,Crofton Hammond Infant School,Mancroft Avenue,Fareham,PO14 2DE,Community school,Mixed
136,Hampshire,Heatherside Junior School,Reading Road South,Fleet,GU52 7TH,Community school,Mixed
137,Hampshire,Sarisbury Infant School,Barnes Lane,Southampton,SO31 7BJ,Community school,Mixed
138,Hampshire,Bishopswood Junior School,Barlows Road,Tadley,RG26 3NA,Community school,Mixed
139,Hampshire,Knight's Enham Junior School,King Arthur's Way,Andover,SP10 4BS,Community school,Mixed
140,Hampshire,Manor Field Junior School,Haydn Road,Basingstoke,RG22 4DH,Community school,Mixed
141,Hampshire,Kempshott Junior School,Old Down Close,Basingstoke,RG22 5LL,Community school,Mixed
142,Hampshire,Marnel Junior School,Shetland Road,Basingstoke,RG24 9PT,Community school,Mixed
143,Hampshire,Weyford Nursery and Primary School,Weyford Nursery and Primary School,Bordon,GU35 0ET,Community school,Mixed
144,Hampshire,Ranvilles Junior School,Oldbury Way,Fareham,PO14 3BN,Community school,Mixed
145,Hampshire,Tweseldown Infant School,Nepal Gardens,Fleet,GU52 8LL,Community school,Mixed
146,Hampshire,Liss Infant School,Hillbrow Road,Liss,GU33 7LQ,Community school,Mixed
147,Hampshire,Purbrook Junior School,Aldermoor Road East,Waterlooville,PO7 5NQ,Community school,Mixed
148,Hampshire,Marnel Community Infant School,Shetland Road,Basingstoke,RG24 9PT,Community school,Mixed
149,Hampshire,Foxhills Infant School,Foxhills,Southampton,SO40 7ED,Community school,Mixed
150,Hampshire,The Butts Primary School,Bolle Road,Alton,GU34 1PW,Community school,Mixed
151,Hampshire,Knights Enham Nursery and Infant School,King Arthurs Way,Andover,SP10 4BS,Community school,Mixed
152,Hampshire,Bursledon Junior School(CA),Long Lane,Southampton,SO31 8BZ,Community school,Mixed
153,Hampshire,Ranvilles Infant School,Oldbury Way,Fareham,PO14 3BN,Community school,Mixed
154,Hampshire,Northern Infant School,Richmond Rise,Fareham,PO16 8DG,Community school,Mixed
155,Hampshire,Poulner Infant School,North Poulner Road,Ringwood,BH24 3LA,Community school,Mixed
156,Hampshire,Halterworth Community Primary School,Halterworth Lane,Romsey,SO51 9AD,Community school,Mixed
157,Hampshire,Park Gate Primary School,Northmore Road,Southampton,SO31 6LX,Community school,Mixed
158,Hampshire,South Wonston Primary School,Downs Road,Winchester,SO21 3EH,Community school,Mixed
159,Hampshire,Bishopswood Infant School,Barlows Road,Tadley,RG26 3NA,Community school,Mixed
160,Hampshire,Kempshott Infant School,Old Down Close,Basingstoke,RG22 5LL,Community school,Mixed
161,Hampshire,Wootey Junior School,Wooteys Way,Alton,GU34 2JA,Community school,Mixed
162,Hampshire,Roman Way Primary School,Roman Way,Andover,SP10 5JY,Community school,Mixed
163,Hampshire,Old Basing Infant School,Milkingpen Lane,Basingstoke,RG24 7DL,Community school,Mixed
164,Hampshire,Rucstall Primary School,Holbein Close,Basingstoke,RG21 3EX,Community school,Mixed
165,Hampshire,Castle Hill Infant School,Greenbank,Basingstoke,RG23 8BN,Community school,Mixed
166,Hampshire,Scantabout Primary School,Ionic Close,Eastleigh,SO53 2NR,Community school,Mixed
167,Hampshire,Denmead Junior School,Bere Road,Waterlooville,PO7 6PH,Community school,Mixed
168,Hampshire,Tavistock Infant School,Broadacres,Fleet,GU51 4EB,Community school,Mixed
169,Hampshire,Hook Junior School,Ravenscroft,Hook,RG27 9NN,Community school,Mixed
170,Hampshire,Olivers Battery Primary School,Austen Avenue,Winchester,SO22 4HP,Community school,Mixed
171,Hampshire,Oakley Infant School,Oakley Lane,Basingstoke,RG23 7JZ,Community school,Mixed
172,Hampshire,Cupernham Infant School,Bransley Close,Romsey,SO51 7JT,Community school,Mixed
173,Hampshire,Calmore Infant School,Calmore Drive,Southampton,SO40 2ZZ,Community school,Mixed
174,Hampshire,Lymington Junior School,Avenue Road,Lymington,SO41 9GP,Community school,Mixed
175,Hampshire,Mengham Junior School,Palmerston Road,Hayling Island,PO11 9ET,Community school,Mixed
176,Hampshire,Bidbury Junior School,Fraser Road,Havant,PO9 3EF,Community school,Mixed
177,Hampshire,Velmead Junior School,Velmead Road,Fleet,GU52 7LG,Community school,Mixed
178,Hampshire,Manor Field Infant School,Haydn Road,Basingstoke,RG22 4DH,Community school,Mixed
179,Hampshire,Liphook Infant School,Avenue Close,Liphook,GU30 7QE,Community school,Mixed
180,Hampshire,Chalk Ridge Primary School,Sullivan Road,Basingstoke,RG22 4ER,Community school,Mixed
181,Hampshire,Crofton Hammond Junior School,Mancroft Avenue,Fareham,PO14 2DE,Community school,Mixed
182,Hampshire,Potley Hill Primary School,Potley Hill Road,Yateley,GU46 6AG,Community school,Mixed
183,Hampshire,Kings Copse Primary School,Kings Copse Road,Southampton,SO30 0PQ,Community school,Mixed
184,Hampshire,Netley Abbey Junior School,Westwood Road,Southampton,SO31 5EL,Community school,Mixed
185,Hampshire,Balksbury Infant School,Floral Way,Andover,SP10 3QP,Community school,Mixed
186,Hampshire,Petersgate Infant School,Green Lane,Waterlooville,PO8 0JU,Community school,Mixed
187,Hampshire,Springwood Junior School,Springwood Avenue,Waterlooville,PO7 8ED,Community school,Mixed
188,Hampshire,Fordingbridge Junior School,Pennys Lane,Fordingbridge,SP6 1HJ,Community school,Mixed
189,Hampshire,Fordingbridge Infant School,Pennys Lane,Fordingbridge,SP6 1HJ,Community school,Mixed
190,Hampshire,Netley Abbey Infant School,Westwood Road,Southampton,SO31 5EL,Community school,Mixed
191,Hampshire,Greenfields Junior School,Green Lane,Hook,RG27 8DQ,Community school,Mixed
192,Hampshire,Shakespeare Junior School,St Catherine's Road,Eastleigh,SO50 4JT,Community school,Mixed
193,Hampshire,Marchwood Junior School,Main Road,Southampton,SO40 4ZH,Community school,Mixed
194,Hampshire,Colden Common Primary School,Upper Moors Road,Eastleigh,SO50 6HW,Community school,Mixed
195,Hampshire,Mayhill Junior School,The Bury,Hook,RG29 1NB,Community school,Mixed
196,Hampshire,Woolton Hill Junior School,Woolton Hill,Newbury,RG20 9XE,Community school,Mixed
197,Hampshire,Norwood Primary School,Chamberlayne Road,Eastleigh,SO50 5JL,Community school,Mixed
198,Hampshire,Red Barn Community Primary School,Linden Lea,Fareham,PO16 8HJ,Community school,Mixed
199,Hampshire,Newlands Primary School,Dungells Lane,Yateley,GU46 6EY,Community school,Mixed
200,Hampshire,Four Lanes Infant School,Hanmore Road,Basingstoke,RG24 8PQ,Community school,Mixed
201,Hampshire,Castle Primary School,Castle Street,Fareham,PO16 9QQ,Community school,Mixed
202,Hampshire,Bidbury Infant School,Fraser Road,Havant,PO9 3EF,Community school,Mixed
203,Hampshire,Hatch Warren Infant School,Gershwin Road,Basingstoke,RG22 4PQ,Community school,Mixed
204,Hampshire,Cove Junior School,Fernhill Road,Farnborough,GU14 9SA,Community school,Mixed
205,Hampshire,Cove Infant School,92 Fernhill Road,Farnborough,GU14 9DP,Community school,Mixed
206,Hampshire,Tower Hill Primary School,Fowler Road,Farnborough,GU14 0BW,Community school,Mixed
207,Hampshire,Marlborough Infant School,Redvers Buller Road,Aldershot,GU11 2HR,Community school,Mixed
208,Hampshire,South Farnborough Infant School,Queen's Road,Farnborough,GU14 6JU,Community school,Mixed
209,Hampshire,North Farnborough Infant School,Rectory Road,Farnborough,GU14 8AJ,Community school,Mixed
210,Hampshire,Manor Junior School,Fernhill Road,Farnborough,GU14 9DX,Community school,Mixed
211,Hampshire,Grange Community Junior School,Wren Way,Farnborough,GU14 8TA,Community school,Mixed
212,Hampshire,Talavera Junior School,Gun Hill,Aldershot,GU11 1RG,Community school,Mixed
213,Hampshire,Manor Infant School,Fernhill Road,Farnborough,GU14 9DX,Community school,Mixed
214,Hampshire,Talavera Infant School,Gun Hill,Aldershot,GU11 1RG,Community school,Mixed
215,Hampshire,Parsonage Farm Nursery and Infant School,Cherry Tree Close,Farnborough,GU14 9TT,Community school,Mixed
216,Hampshire,South Farnborough Junior School,Cunnington Road,Farnborough,GU14 6PL,Community school,Mixed
217,Hampshire,Guillemont Junior School,Sandy Lane,Farnborough,GU14 9ES,Community school,Mixed
218,Hampshire,Pinewood Infant School,Pinewood Park,Farnborough,GU14 9LE,Community school,Mixed
219,Hampshire,Elson Junior School,Exmouth Road,Gosport,PO12 4EX,Community school,Mixed
220,Hampshire,Elson Infant School,Elson Lane,Gosport,PO12 4EU,Community school,Mixed
221,Hampshire,Lee-on-the-Solent Junior School,Salisbury Terrace,Lee-on-the-Solent,PO13 9DL,Community school,Mixed
222,Hampshire,Haselworth Primary School,Stone Lane,Gosport,PO12 1SQ,Community school,Mixed
223,Hampshire,Woodcot Primary School,Tukes Avenue,Gosport,PO13 0SG,Community school,Mixed
224,Hampshire,Rowner Infant School,Copse Lane,Gosport,PO13 0DH,Community school,Mixed
225,Hampshire,Alverstoke Community Infant School,Ashburton Road,Gosport,PO12 2LH,Community school,Mixed
226,Hampshire,Grange Junior School,"Grange Junior School, Franklin Road",Gosport,PO13 9TS,Community school,Mixed
227,Hampshire,Grange Infant School,Franklin Road,Gosport,PO13 9TS,Community school,Mixed
228,Hampshire,Alver Valley Junior School,21 Falcon Meadows Way,Gosport,PO13 8AA,Community school,Mixed
229,Hampshire,Peel Common Infant School and Nursery Unit,The Drive,Gosport,PO13 0QD,Community school,Mixed
230,Hampshire,Alver Valley Infant and Nursery School,21 Falcon Meadows Way,Gosport,PO13 8AA,Community school,Mixed
231,Hampshire,Peel Common Junior School,The Drive,Gosport,PO13 0QD,Community school,Mixed
232,Hampshire,Gomer Infant School,Pyrford Close,Gosport,PO12 2RP,Community school,Mixed
233,Hampshire,Brockhurst Primary School,Avery Lane,Gosport,PO12 4SL,Community school,Mixed
234,Hampshire,Lee-On-the-Solent Infant and Nursery School,Elmore Road,Lee-on-the-Solent,PO13 9DY,Community school,Mixed
235,Hampshire,Orchard Lea Infant School,Kennedy Avenue,Fareham,PO15 6BJ,Community school,Mixed
236,Hampshire,Orchard Lea Junior School,Kennedy Avenue,Fareham,PO15 6BJ,Community school,Mixed
237,Hampshire,Hook Infant School,Church View,Hook,RG27 9NR,Community school,Mixed
238,Hampshire,King's Furlong Infant School and Nursery,Upper Chestnut Drive,Basingstoke,RG21 8YJ,Community school,Mixed
239,Hampshire,Kings Furlong Junior School,Upper Chestnut Drive,Basingstoke,RG21 8YJ,Community school,Mixed
240,Hampshire,Fairfields Primary School,Council Road,Basingstoke,RG21 3DH,Community school,Mixed
241,Hampshire,Park Primary School,Gloucester Road,Aldershot,GU11 3SL,Community school,Mixed
242,Hampshire,Alderwood School,Belle Vue Road,Aldershot,GU12 4RZ,Community school,Mixed
243,Hampshire,Park View Primary School,Pinkerton Road,Basingstoke,RG22 6RT,Community school,Mixed
244,Hampshire,Fernhill Primary School,Field Road,Farnborough,GU14 9FX,Community school,Mixed
245,Hampshire,Harestock Primary School,Bramshaw Close,Winchester,SO22 6LU,Community school,Mixed
246,Hampshire,Weeke Primary School,Stoney Lane,Winchester,SO22 6DR,Community school,Mixed
247,Hampshire,Hazel Wood Infant School,Hazel Farm Road,Southampton,SO40 8WU,Community school,Mixed
248,Hampshire,Hart Plain Junior School,Hart Plain Avenue,Waterlooville,PO8 8SA,Community school,Mixed
249,Hampshire,Southwood Infant School,Southwood Lane,Farnborough,GU14 0NE,Community school,Mixed
250,Hampshire,Four Lanes Community Junior School,Hanmore Road,Basingstoke,RG24 8PQ,Community school,Mixed
251,Hampshire,Queen's Inclosure Primary School,Cornelius Drive,Waterlooville,PO7 8NT,Community school,Mixed
252,Hampshire,Berrywood Primary School,Maunsell Way,Southampton,SO30 2TL,Community school,Mixed
253,Hampshire,Woodlea Primary School,Atholl Road,Bordon,GU35 9QX,Community school,Mixed
254,Hampshire,Hatch Warren Junior School,Gershwin Road,Basingstoke,RG22 4PQ,Community school,Mixed
255,Hampshire,Nightingale Primary School,Blackbird Road,Eastleigh,SO50 9JW,Community school,Mixed
256,Hampshire,Emsworth Primary School,Victoria Road,Emsworth,PO10 7LX,Community school,Mixed
257,Hampshire,Morelands Primary School,Crookhorn Lane,Waterlooville,PO7 5QL,Community school,Mixed
258,Hampshire,Abbotts Ann Church of England Primary School,Duck Street,Andover,SP11 7FE,Voluntary controlled school,Mixed
259,Hampshire,Saint Lawrence Church of England Primary School,Amery Hill,Alton,GU34 2BY,Voluntary controlled school,Mixed
260,Hampshire,Ampfield Church of England Primary School,Knapp Lane,Romsey,SO51 9BT,Voluntary controlled school,Mixed
261,Hampshire,Andover Church of England Primary School,East Street,Andover,SP10 1EP,Voluntary controlled school,Mixed
262,Hampshire,Barton Stacey Church of England Primary School,The Green,Winchester,SO21 3RY,Voluntary controlled school,Mixed
263,Hampshire,Binsted Church of England Primary School,Church Street,Alton,GU34 4NX,Voluntary controlled school,Mixed
264,Hampshire,Botley Church of England Controlled Primary School,52 High Street,Southampton,SO30 2EA,Voluntary controlled school,Mixed
265,Hampshire,Breamore Church of England Primary School,Salisbury Road,Fordingbridge,SP6 2EF,Voluntary controlled school,Mixed
266,Hampshire,Brockenhurst Church of England Primary School,Sway Road,Brockenhurst,SO42 7RX,Voluntary controlled school,Mixed
267,Hampshire,Bursledon Church of England Infant School,Long Lane,Southampton,SO31 8BZ,Voluntary controlled school,Mixed
268,Hampshire,Bramley Church of England Primary School,Bramley Lane,Tadley,RG26 5AH,Voluntary controlled school,Mixed
269,Hampshire,Bentley Church of England Primary School,School Lane,Farnham,GU10 5JP,Voluntary controlled school,Mixed
270,Hampshire,Catherington Church of England Infant School,316 Catherington Lane,Waterlooville,PO8 0TD,Voluntary controlled school,Mixed
271,Hampshire,Chawton Church of England Primary School,Chawton,Alton,GU34 1SG,Voluntary controlled school,Mixed
272,Hampshire,Copythorne CofE Infant School,Romsey Road,Southampton,SO40 2PB,Voluntary controlled school,Mixed
273,Hampshire,Durley Church of England Controlled Primary School,Durley Brook Road,Southampton,SO32 2AR,Voluntary controlled school,Mixed
274,Hampshire,East Meon Church of England Controlled Primary School,Chapel Street,Petersfield,GU32 1NR,Voluntary controlled school,Mixed
275,Hampshire,Ecchinswell and Sydmonton Church of England Primary School,Ecchinswell,Newbury,RG20 4UA,Voluntary controlled school,Mixed
276,Hampshire,St James Church of England Controlled Primary School,Bellevue Lane,Emsworth,PO10 7PX,Voluntary controlled school,Mixed
277,Hampshire,Four Marks Church of England Primary School,Five Lanes End,Alton,GU34 5AS,Voluntary controlled school,Mixed
278,Hampshire,Froxfield Church of England Primary and Pre-School,High Cross,Petersfield,GU32 1EG,Voluntary controlled school,Mixed
279,Hampshire,Grayshott Church of England Controlled Primary School,School Road,Hindhead,GU26 6LR,Voluntary controlled school,Mixed
280,Hampshire,Horndean Church of England Junior School,Five Heads Road,Waterlooville,PO8 9NW,Voluntary controlled school,Mixed
